,name,redshift,dm,dmerr,bmax,bmaxerr,babs,atlas,ztf,sofi
56,2022ais,0.054,35.79242054,0.502405655,18.85241239,0.221333318,-18.07790863,1,1,1
57,2022ait,0.03,32.38839199,0.037986567,16.52941733,0.025632846,-19.08603992,1,1,1
58,2022ctp,0.06,37.43243076,0.44767187,18.2778517,0.177158986,-18.89067742,1,1,1
59,2022ctu,0.058,37.37262178,0.449323764,18.26625352,0.178524342,-18.82552803,1,1,1
60,2022ddo,0.088,38.00626978,0.409450704,18.47730748,0.149680951,-19.56579804,1,1,1
61,2022dtv,0.028617,33.89794303,0.027926208,17.0580329,0.016147996,-18.45267925,1,1,1
62,2022eqn,0.032,36.23128293,0.059293498,16.35566684,0.028372751,-19.40319339,1,1,1
63,2022fbf,0.05,35.04708265,0.050453904,17.05905411,0.033031158,-19.69782279,1,1,1
64,2022fcc,0.025851,34.84292212,0.043757262,16.53416844,0.017805361,-18.75127769,1,1,1
65,2022mhe,0.02874,33.42901624,0.062966928,18.1645437,0.038031012,-17.35568288,1,1,1
66,2022qot,0.095,38.82083868,0.164116794,18.96319882,0.049520278,-19.25657932,1,1,1
67,2022rsb,0.096,34.71822942,0.041871502,19.04229719,0.018398342,-19.20170616,1,1,1
68,2022ssk,0.042,34.07058347,0.124354126,20.06469519,0.06813293,-16.30081845,1,1,1
69,2022szg,0.06,36.94734163,0.073717184,17.57586522,0.020486648,-19.5926639,1,1,1
70,2023alf,0.033,35.75794041,0.109519499,18.08404223,0.039516222,-17.74326397,1,1,1
71,LSQ12dwl,0.01377,29.70009042,0.854073227,21.28356563,0.400827275,-12.61415412,1,1,1
72,LSQ13fn,0.064,36.79346669,0.008396829,12.81571671,0.003388991,-24.49919195,1,1,1
73,LSQ15kp,0.16,39.15756666,0.050844007,17.36468474,0.017486656,-22.07957232,1,1,1
